epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
37,2,2,86.0342,85.0629,79.5315,91.4213,38807.85558,90.8423,67.0444,80.4989,57.4434,2469.663755,121318,48243,4527,56132,12416,7622,710,526,6214,172,171.3412
58,3,3,86.4917,85.9848,82.8748,89.3373,37947.04718,88.9137,63.2449,82.4263,51.3056,2651.111055,121318,50271,6000,54659,10388,7622,727,690,6050,155,171.34
50,3,3,86.5972,85.7206,80.458,91.7198,37733.81383,91.0522,67.4929,80.2721,58.2237,2337.464861,121318,48805,4406,56253,11854,7622,708,508,6232,174,171.3243
41,2,2,86.2065,85.3616,80.4349,90.9313,38757.30823,90.37,66.05,80.9524,55.7813,2622.939476,121318,48791,4866,55793,11868,7622,714,566,6174,168,171.3224
37,1,1,85.9699,84.9362,79.1078,91.6918,38988.22449,91.6164,68.7531,79.7052,60.4471,2275.957151,121318,47986,4348,56311,12673,7622,703,460,6280,179,171.3216
44,1,1,86.0482,85.436,81.8444,89.3573,39089.72475,89.4516,64.2349,81.8594,52.8551,2657.833532,121318,49646,5913,54746,11013,7622,722,644,6096,160,171.311
47,5,5,86.2815,85.1953,78.9446,92.521,38055.83447,92.1674,70.0452,79.1383,62.8263,2203.760798,121318,47887,3871,56788,12772,7622,698,413,6327,184,171.3057
36,1,1,85.9914,84.9106,78.8292,92.0089,39250.95261,91.8263,69.2346,79.4785,61.3298,2127.433764,121318,47817,4153,56506,12842,7622,701,442,6298,181,171.3048
55,1,1,86.5774,85.72,80.5734,91.5691,37473.31053,91.2359,67.8846,80.0454,58.9316,2208.685453,121318,48875,4500,56159,11784,7622,706,492,6248,176,171.2813
41,1,1,85.979,85.3337,81.579,89.4507,39575.4165,89.5303,64.375,81.746,53.0928,2726.088032,121318,49485,5836,54823,11174,7622,721,637,6103,161,171.2763
46,5,5,86.3491,85.6782,81.6647,90.1066,38272.08533,90.0813,65.4479,81.1791,54.8239,2608.211132,121318,49537,5439,55220,11122,7622,716,590,6150,166,171.2604
44,5,5,86.2757,85.5926,81.5345,90.0759,38718.22884,89.9633,65.2115,81.2925,54.4419,2692.636127,121318,49458,5449,55210,11201,7622,717,600,6140,165,171.2558
57,5,5,86.6755,85.946,81.485,90.9238,37533.47328,90.6324,66.573,80.6122,56.6986,2494.719869,121318,49428,4934,55725,11231,7622,711,543,6197,171,171.2446
57,3,3,86.7332,85.9111,80.8981,91.5864,37199.93243,90.8029,66.9184,80.3855,57.3161,2294.969532,121318,49072,4508,56151,11587,7622,709,528,6212,173,171.1884
50,1,1,86.3466,85.3299,79.4161,92.1954,37904.79264,91.905,69.3797,79.2517,61.6946,2168.610596,121318,48173,4078,56581,12486,7622,699,434,6306,183,171.1567
38,2,2,86.1117,85.2928,80.5437,90.6371,38945.1741,89.9764,65.2095,81.1791,54.4901,2631.405352,121318,48857,5047,55612,11802,7622,716,598,6142,166,171.1555
54,2,2,86.4628,85.4626,79.5826,92.2809,37502.52533,91.4458,68.3188,79.7052,59.7789,2294.789858,121318,48274,4038,56621,12385,7622,703,473,6267,179,171.151
53,1,1,86.42,85.5575,80.4481,91.3599,37732.92528,91.0916,67.5275,80.0454,58.3954,2159.634153,121318,48799,4615,56044,11860,7622,706,503,6237,176,171.137
57,1,1,86.6071,86.0326,82.4939,89.8884,37821.70283,89.6877,64.6265,81.4059,53.5821,2479.482347,121318,50040,5629,55030,10619,7622,718,622,6118,164,171.0936
48,2,2,86.3705,85.5422,80.641,91.0777,38054.20045,90.4487,66.1395,80.6122,56.0726,2443.373394,121318,48916,4792,55867,11743,7622,711,557,6183,171,171.0609
36,2,2,86.007,85.115,80.0145,90.9101,39170.30138,90.2913,65.8041,80.7256,55.5382,2669.947651,121318,48536,4853,55806,12123,7622,712,570,6170,170,171.0169
48,5,5,86.3961,85.4318,79.7771,91.9493,37860.89671,91.5377,68.4905,79.4785,60.1717,2237.015888,121318,48392,4237,56422,12267,7622,701,464,6276,181,171.0162
56,3,3,86.6277,85.6575,79.8628,92.3587,37246.52635,91.4196,68.2216,79.5918,59.6939,2225.508596,121318,48444,4008,56651,12215,7622,702,474,6266,180,171.0114
49,3,3,86.4925,85.5998,80.2931,91.6576,37852.78198,90.9341,67.1422,80.0454,57.8215,2313.155842,121318,48705,4433,56226,11954,7622,706,515,6225,176,170.9795
54,3,3,86.6599,85.8616,81.0135,91.3267,37514.06947,90.698,66.6353,80.2721,56.959,2371.519693,121318,49142,4667,55992,11517,7622,708,535,6205,174,170.9701
47,3,3,86.4933,85.6691,80.7415,91.2371,38068.87277,90.6717,66.5726,80.2721,56.8675,2407.498341,121318,48977,4704,55955,11682,7622,708,537,6203,174,170.9438
26,1,1,85.4976,84.4185,78.572,91.205,40160.76491,91.2228,67.759,79.7052,58.9271,2410.328808,121318,47661,4596,56063,12998,7622,703,490,6250,179,170.928
45,5,5,86.0482,85.4134,81.696,89.4852,38956.38369,89.6353,64.4784,81.2925,53.4277,2701.335159,121318,49556,5823,54836,11103,7622,717,625,6115,165,170.9278
46,1,1,86.2774,85.3731,80.0953,91.3956,38321.54871,91.1047,67.4976,79.8186,58.4718,2259.588566,121318,48585,4574,56085,12074,7622,704,500,6240,178,170.9233
53,5,5,86.6401,85.7241,80.2239,92.034,37338.26282,91.5508,68.4932,79.3651,60.241,2240.779076,121318,48663,4212,56447,11996,7622,700,462,6278,182,170.9159
34,1,1,85.8867,84.9678,79.7738,90.8852,39248.00116,90.7505,66.7296,80.1587,57.1544,2372.687677,121318,48390,4853,55806,12269,7622,707,530,6210,175,170.9092
17,1,1,85.1242,83.9281,77.6818,91.2667,41482.87648,91.3146,67.9574,79.5918,59.2905,2456.202337,121318,47121,4509,56150,13538,7622,702,482,6258,180,170.9064
41,5,5,86.087,85.1054,79.4969,91.5654,38586.97778,91.3146,67.9574,79.5918,59.2905,2429.449456,121318,48222,4442,56217,12437,7622,702,482,6258,180,170.9064
34,5,5,85.7779,84.7722,79.1737,91.2227,39172.05005,91.1965,67.6938,79.7052,58.8285,2447.089506,121318,48026,4621,56038,12633,7622,703,492,6248,179,170.9017
59,3,3,86.7876,85.9144,80.5882,91.9944,36957.50227,91.0653,67.4007,79.8186,58.3264,2309.143095,121318,48884,4254,56405,11775,7622,704,503,6237,178,170.8839
38,1,1,85.9205,84.8622,78.9298,91.759,38972.95078,91.6295,68.664,79.2517,60.5719,2230.215057,121318,47878,4300,56359,12781,7622,699,455,6285,183,170.8812
40,5,5,86.1134,85.3877,81.1471,90.0959,39056.82753,90.1207,65.4111,80.7256,54.9807,2712.91679,121318,49223,5411,55248,11436,7622,712,583,6157,170,170.8463
53,3,3,86.4752,85.5079,79.8002,92.0949,37583.6617,91.3671,68.0583,79.4785,59.5076,2217.823692,121318,48406,4155,56504,12253,7622,701,477,6263,181,170.8456
48,3,3,86.2222,85.1431,78.9594,92.3777,38127.3519,91.5901,68.563,79.2517,60.4149,2241.612555,121318,47896,3952,56707,12763,7622,699,458,6282,183,170.8418
40,3,3,86.1134,85.3574,80.9509,90.2713,38966.36128,89.8845,64.9386,80.9524,54.2141,2544.563034,121318,49104,5292,55367,11555,7622,714,603,6137,168,170.8369
32,5,5,85.829,84.8654,79.4622,91.057,39383.59923,90.8948,67.0152,79.932,57.6923,2606.294456,121318,48201,4734,55925,12458,7622,705,517,6223,177,170.8268
54,4,4,86.6838,85.8776,80.9756,91.4114,37521.62592,91.1178,67.4988,79.7052,58.5346,2386.227255,121318,49119,4615,56044,11540,7622,703,498,6242,179,170.823
55,3,3,86.6879,85.8184,80.5569,91.8153,37347.19352,90.9866,67.2076,79.8186,58.0379,2250.820065,121318,48865,4356,56303,11794,7622,704,509,6231,178,170.8052
21,1,1,85.2058,84.2652,79.2281,89.9863,41626.88609,90.3044,65.7712,80.4989,55.5991,2774.302185,121318,48059,5348,55311,12600,7622,710,567,6173,172,170.8033
51,5,5,86.4076,85.3838,79.4029,92.3391,37727.37541,91.8788,69.2193,78.9116,61.6475,2265.194453,121318,48165,3996,56663,12494,7622,696,433,6307,186,170.7904
30,1,1,85.7029,84.4722,77.7774,92.4281,40278.35599,92.1018,69.7487,78.6848,62.6354,2067.338697,121318,47179,3865,56794,13480,7622,694,414,6326,188,170.7866
19,1,1,85.1984,84.1284,78.4566,90.6841,41379.64136,90.8423,66.888,79.932,57.5041,2555.427057,121318,47591,4889,55770,13068,7622,705,521,6219,177,170.7743
43,2,2,86.1356,85.1395,79.4326,91.73,38400.2528,90.9473,67.1115,79.8186,57.8947,2451.834412,121318,48183,4344,56315,12476,7622,704,512,6228,178,170.7659
39,1,1,85.9386,84.9839,79.5809,91.174,38991.26181,91.0522,67.3372,79.7052,58.2919,2282.314438,121318,48273,4673,55986,12386,7622,703,503,6237,179,170.7574
39,3,3,86.0515,85.2611,80.6888,90.3828,39222.39676,89.9108,64.9658,80.839,54.3031,2631.489141,121318,48945,5208,55451,11714,7622,713,600,6140,169,170.7498
44,3,3,86.087,85.5298,82.2368,89.0977,39466.10887,88.8874,63.0292,81.8594,51.242,2837.096373,121318,49884,6104,54555,10775,7622,722,687,6053,160,170.7468
20,1,1,85.1531,84.0765,78.3923,90.6495,41506.2605,90.7898,66.7614,79.932,57.3171,2467.903242,121318,47552,4905,55754,13107,7622,705,525,6215,177,170.7218
23,1,1,85.4226,84.2908,78.2176,91.3864,40477.99362,91.4458,68.1951,79.2517,59.8459,2374.133183,121318,47446,4472,56187,13213,7622,699,469,6271,183,170.6975
25,1,1,85.5215,84.1595,76.9235,92.8984,40610.65155,92.5741,70.8848,78.1179,64.8776,2086.884361,121318,46661,3567,57092,13998,7622,689,373,6367,193,170.692
31,5,5,85.6435,84.7638,79.8694,90.2971,40078.68483,90.2913,65.709,80.3855,55.5643,2751.478449,121318,48448,5206,55453,12211,7622,709,567,6173,173,170.6768
24,1,1,85.4787,84.262,77.7477,91.9676,40349.31281,91.7607,68.9109,78.9116,61.1599,2228.425735,121318,47161,4119,56540,13498,7622,696,442,6298,186,170.6723
33,1,1,85.8554,84.857,79.2628,91.301,39383.89673,91.1834,67.5988,79.4785,58.8087,2367.850864,121318,48080,4581,56078,12579,7622,701,491,6249,181,170.6619
14,1,1,85.0278,83.9146,78.1071,90.655,42291.92215,90.7242,66.6037,79.932,57.085,2585.274845,121318,47379,4884,55775,13280,7622,705,530,6210,177,170.6562
40,2,2,86.1439,85.2014,79.7755,91.4193,38543.14154,90.7242,66.6037,79.932,57.085,2460.304256,121318,48391,4542,56117,12268,7622,705,530,6210,177,170.6562
50,5,5,86.4027,85.5415,80.4464,91.3256,37757.38737,91.0522,67.3058,79.5918,58.3056,2372.935612,121318,48798,4635,56024,11861,7622,702,502,6238,180,170.644
41,3,3,86.0103,85.011,79.3435,91.5505,38810.33443,90.921,67.0162,79.7052,57.8125,2470.333668,121318,48129,4442,56217,12530,7622,703,513,6227,179,170.6262
34,2,2,85.8315,84.7765,78.9017,91.5965,39177.60652,90.8029,66.7615,79.8186,57.3757,2385.701878,121318,47861,4391,56268,12798,7622,704,523,6217,178,170.6215
10,1,1,84.7665,83.7248,78.3659,89.8703,44165.00082,90.2257,65.5571,80.3855,55.3474,2858.463417,121318,47536,5358,55301,13123,7622,709,572,6168,173,170.6112
