epoch,dataset,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
18,1,95.6041,95.6944,97.7019,93.7678,17901.84304,90.4093,65.729,79.4785,56.0352,2146.88769,121318,59265,3939,0,1394,7622,701,550,0,181,84.9439
23,1,95.3305,95.5206,99.5763,91.7824,16679.79718,87.4574,60.332,82.4263,47.5785,2657.16313,121318,60402,5408,0,257,7622,727,801,0,155,84.94185
9,4,91.3467,91.3764,91.6913,91.0637,27992.55901,88.9006,62.7968,80.9524,51.2931,2323.310839,121318,55619,5458,0,5040,7622,714,678,0,168,84.9265
10,4,92.0045,92.1794,94.2416,90.2056,26979.22746,87.8772,61.0127,81.9728,48.5887,2510.213287,121318,57166,6207,0,3493,7622,723,765,0,159,84.925
15,1,94.7172,94.7989,96.2891,93.3542,19854.01916,90.1338,65.1529,79.7052,55.094,2097.969199,121318,58408,4158,0,2251,7622,703,573,0,179,84.9195
24,1,95.844,95.9932,99.5681,92.6661,15633.45623,88.0215,61.2314,81.746,48.9477,2653.053259,121318,60397,4780,0,262,7622,721,752,0,161,84.88375
5,5,89.558,89.2945,87.0967,91.6061,33489.67691,90.042,64.9423,79.7052,54.7935,2113.45413,121318,52832,4841,0,7827,7622,703,580,0,179,84.8736
20,2,95.6321,95.7534,98.4883,93.1664,17117.75505,89.2285,63.3646,80.4989,52.2443,2460.846305,121318,59742,4382,0,917,7622,710,649,0,172,84.8637
4,4,88.6851,88.2864,85.2817,91.5107,35922.01895,90.2388,65.3308,79.4785,55.4589,2309.428503,121318,51731,4799,0,8928,7622,701,563,0,181,84.85865
37,1,97.3112,97.3718,99.6159,95.2265,11587.6491,90.6849,66.2548,79.0249,57.0376,2737.015048,121318,60426,3029,0,233,7622,697,525,0,185,84.8549
10,2,92.1215,92.1297,92.2254,92.0342,25649.0947,88.9268,62.7866,80.7256,51.3709,2165.158828,121318,55943,4842,0,4716,7622,712,674,0,170,84.8262
33,1,97.2931,97.3521,99.5236,95.2734,12043.24988,90.8423,66.5709,78.7982,57.6285,2561.278377,121318,60370,2995,0,289,7622,695,511,0,187,84.82025
13,5,93.4264,93.6649,97.1909,90.3857,22946.10718,87.0769,59.6477,82.5397,46.6966,2347.131406,121318,58955,6271,0,1704,7622,728,831,0,154,84.8083
1,4,86.7456,86.1822,82.6687,90.0077,42671.17815,89.6615,64.1492,79.932,53.5714,2668.553604,121318,50146,5567,0,10513,7622,705,611,0,177,84.79675
12,2,93.2022,93.2921,94.5433,92.0737,23228.58918,88.7431,62.4343,80.839,50.8559,2246.239975,121318,57349,4937,0,3310,7622,713,689,0,169,84.79105
34,1,97.0647,97.1378,99.6175,94.7785,12212.6297,89.8714,64.5546,79.7052,54.2438,2694.717555,121318,60427,3329,0,232,7622,703,593,0,179,84.7883
20,1,96.1407,96.2343,98.6267,93.9552,16142.34189,90.0813,64.9676,79.4785,54.9373,2286.392805,121318,59826,3849,0,833,7622,701,575,0,181,84.7799
2,2,87.161,86.3899,81.4949,91.9104,39980.7411,90.6061,66.0342,78.9116,56.77,2452.466082,121318,49434,4351,0,11225,7622,696,530,0,186,84.75885
14,9,93.3045,93.3967,94.7016,92.1273,24039.52373,89.4447,63.6199,80.0683,52.7778,2306.702203,121320,57446,4909,0,3214,7617,703,629,0,175,84.7565
35,2,96.7276,96.8246,99.7824,94.0371,12772.73596,89.4647,63.7472,80.0454,52.9632,2845.609749,121318,60527,3838,0,132,7622,706,627,0,176,84.75505
7,4,90.5983,90.6096,90.7186,90.5008,30647.10786,88.6513,62.2436,80.839,50.6033,2390.579098,121318,55029,5776,0,5630,7622,713,696,0,169,84.74515
5,4,89.3272,89.2188,88.3216,90.1344,34203.17516,88.8743,62.6432,80.6122,51.2248,2477.47061,121318,53575,5864,0,7084,7622,711,677,0,171,84.74325
47,5,97.0433,97.1231,99.817,94.5708,11686.33863,90.0945,64.9652,79.3651,54.9882,3112.478159,121318,60548,3476,0,111,7622,700,573,0,182,84.7298
35,1,96.3476,96.4672,99.7329,93.4086,13691.76973,88.73,62.3741,80.7256,50.8208,2886.857725,121318,60497,4269,0,162,7622,712,689,0,170,84.7278
27,2,96.1193,96.2521,99.6637,93.0664,14727.66715,88.73,62.3741,80.7256,50.8208,2722.899581,121318,60455,4504,0,204,7622,712,689,0,170,84.7278
30,1,96.9502,97.0133,99.0653,95.0447,13042.05102,90.9735,66.7954,78.458,58.1513,2447.061868,121318,60092,3133,0,567,7622,692,498,0,190,84.71575
36,1,96.3789,96.4975,99.7643,93.4379,13471.04261,88.4676,61.8986,80.9524,50.1053,2938.885796,121318,60516,4250,0,143,7622,714,711,0,168,84.71
12,5,93.1799,93.1709,93.048,93.2941,23745.30964,90.5012,65.7845,78.9116,56.4019,1959.934474,121318,56442,4057,0,4217,7622,696,538,0,186,84.7064
12,3,92.5864,92.7529,94.8829,90.7164,25150.23562,87.5492,60.3427,81.8594,47.7829,2455.890499,121318,57555,5890,0,3104,7622,722,789,0,160,84.7043
33,2,96.7474,96.8419,99.7412,94.1065,12914.6572,89.4647,63.7144,79.932,52.9677,2813.409216,121318,60502,3789,0,157,7622,705,626,0,177,84.69835
49,1,97.3714,97.4328,99.7659,95.2064,10832.87429,90.0289,64.8148,79.3651,54.7731,2940.734972,121318,60517,3047,0,142,7622,700,578,0,182,84.697
10,3,91.7275,91.7019,91.4192,91.9864,27098.89901,89.3335,63.4607,80.0454,52.5689,2265.898014,121318,55454,4831,0,5205,7622,706,637,0,176,84.68945
32,1,96.9419,97.0218,99.6225,94.5534,12555.08175,89.6615,64.0839,79.7052,53.5823,2681.054713,121318,60430,3481,0,229,7622,703,609,0,179,84.68335
8,9,90.6058,90.5056,89.55,91.4818,30962.3128,89.4053,63.5007,79.9544,52.6632,2377.735703,121320,54321,5058,0,6339,7617,702,631,0,176,84.67985
3,9,87.7654,87.3755,84.6769,90.2518,38793.19595,89.169,63.0542,80.1822,51.9557,2728.878162,121320,51365,5548,0,9295,7617,704,651,0,174,84.6756
11,4,92.7587,92.8615,94.1987,91.5617,25010.10249,88.7169,62.3138,80.6122,50.7857,2320.072699,121318,57140,5266,0,3519,7622,711,689,0,171,84.66455
16,2,94.8565,94.985,97.4184,92.6702,19167.51317,88.8087,62.4725,80.4989,51.0424,2318.839985,121318,59093,4674,0,1566,7622,710,681,0,172,84.6538
56,5,96.796,96.8911,99.8533,94.0996,12058.7888,88.9924,62.7938,80.2721,51.5659,3437.520826,121318,60570,3798,0,89,7622,708,665,0,174,84.63225
21,1,96.1267,96.2359,99.0273,93.5975,15894.98167,89.5434,63.8221,79.7052,53.2173,2361.672794,121318,60069,4109,0,590,7622,703,618,0,179,84.6243
2,4,87.5773,86.9816,83.0017,91.3624,39829.40683,90.5537,65.8444,78.6848,56.6069,2408.211525,121318,50348,4760,0,10311,7622,694,532,0,188,84.61925
19,5,95.0387,95.2243,98.9268,91.789,18376.63266,88.0478,61.1182,81.1791,49.0075,2498.420922,121318,60008,5368,0,651,7622,716,745,0,166,84.61345
5,7,88.7527,88.4549,86.1735,90.8604,35841.58433,89.2941,63.3423,79.932,52.4554,2576.307179,121318,52272,5258,0,8387,7622,705,639,0,177,84.61305
20,5,95.3428,95.4151,96.9188,93.9573,17884.69122,90.3962,65.5042,78.7982,56.0484,2241.586988,121318,58790,3781,0,1869,7622,695,545,0,187,84.5972
14,3,93.4766,93.5752,95.0098,92.1832,22551.60022,88.5332,61.9338,80.6122,50.2829,2377.311394,121318,57632,4887,0,3027,7622,711,703,0,171,84.5727
7,3,89.7905,89.6289,88.2326,91.0701,32005.07401,88.953,62.6773,80.1587,51.4556,2350.396929,121318,53521,5248,0,7138,7622,707,667,0,175,84.55585
6,3,89.1558,88.7218,85.308,92.4202,33582.37054,90.7636,66.2512,78.3447,57.392,2166.773483,121318,51747,4244,0,8912,7622,691,513,0,191,84.55415
36,2,96.5628,96.6703,99.7923,93.7377,12973.78926,88.9399,62.6495,80.1587,51.4182,2937.558268,121318,60533,4044,0,126,7622,707,668,0,175,84.5493
29,5,96.3212,96.4402,99.6637,93.4187,14250.75666,89.1629,63.059,79.932,52.0679,2754.388383,121318,60455,4259,0,204,7622,705,649,0,177,84.54745
8,7,90.3502,90.272,89.5465,91.0093,31315.41602,89.0186,62.7835,80.0454,51.6459,2427.649563,121318,54318,5366,0,6341,7622,706,661,0,176,84.532
22,1,96.435,96.5115,98.6284,94.4836,15171.7571,90.4881,65.6561,78.5714,56.3873,2307.108721,121318,59827,3493,0,832,7622,693,536,0,189,84.52975
1,2,86.1801,85.5475,81.8032,89.6511,43648.09489,88.4414,61.7455,80.6122,50.0352,2954.369827,121318,49621,5728,0,11038,7622,711,710,0,171,84.5268
28,5,95.6049,95.7752,99.6357,92.2028,15990.88311,88.1002,61.1563,80.9524,49.1397,2837.088779,121318,60438,5111,0,221,7622,714,739,0,168,84.5263
29,1,97.1834,97.2257,98.7075,95.7877,12958.55215,91.6033,68.0957,77.4376,60.7651,2390.644026,121318,59875,2633,0,784,7622,683,441,0,199,84.52045
