epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
22,1,1,98.9532,98.9635,99.9538,97.9927,4376.372942,91.8919,68.693,76.8707,62.0879,3361.175257,121318,60631,1242,59417,28,7622,678,414,6326,204,84.3813
41,1,1,99.2054,99.209,99.6555,98.7664,3115.197962,93.3876,72.4891,75.2834,69.8947,4147.456944,121318,60450,755,59904,209,7622,664,286,6454,218,84.3355
34,3,3,98.7158,98.7312,99.9357,97.5555,6113.980999,91.5639,67.8982,77.0975,60.6601,4206.392952,121318,60620,1519,59140,39,7622,680,441,6299,202,84.3307
2,7,7,91.1225,91.2415,92.4809,90.0348,28454.92732,87.4574,59.9665,81.1791,47.5432,2625.99865,121318,56098,6209,54450,4561,7622,716,790,5950,166,84.31825
8,7,7,96.9469,97.0054,98.9004,95.1816,11940.06095,90.9473,66.5049,77.6644,58.1494,2671.959008,121318,59992,3037,57622,667,7622,685,493,6247,197,84.30585
16,2,2,98.2154,98.245,99.9027,96.6415,7609.443612,90.6061,65.7744,78.0045,56.8595,3539.538514,121318,60600,2106,58553,59,7622,688,522,6218,194,84.3053
7,0,0,95.6783,95.8468,99.7346,92.2507,15483.85479,87.9559,60.7692,80.6122,48.7654,3071.242936,121318,60498,5082,55577,161,7622,711,747,5993,171,84.28405
17,5,5,98.6259,98.6373,99.4593,97.8288,6222.729569,92.3642,69.7819,76.1905,64.3678,2870.610743,121318,60331,1339,59320,328,7622,672,372,6368,210,84.27735
17,2,2,97.9319,97.9703,99.8253,96.183,8529.497542,89.6353,63.7947,78.9116,53.5385,3678.760868,121318,60553,2403,58256,106,7622,696,604,6136,186,84.27345
13,0,0,97.2073,97.2812,99.9225,94.7759,11227.19123,89.8583,64.2295,78.6848,54.2611,3514.142432,121318,60612,3341,57318,47,7622,694,585,6155,188,84.27155
51,3,3,98.9152,98.9268,99.9885,97.8874,5107.709785,90.7636,66.0886,77.7778,57.4539,6003.928679,121318,60652,1309,59350,7,7622,686,508,6232,196,84.2707
2,4,4,91.3986,91.4325,91.7935,91.0743,27370.28668,88.8218,62.2675,79.7052,51.0901,2208.540997,121318,55681,5457,55202,4978,7622,703,673,6067,179,84.2635
9,3,3,97.8363,97.8617,99.0241,96.7262,9494.689382,91.9706,68.8073,76.5306,62.5,2513.515636,121318,60067,2033,58626,592,7622,675,405,6335,207,84.2506
28,1,1,99.1526,99.1596,99.9753,98.357,3549.997861,91.8525,68.5251,76.644,61.9615,3885.760365,121318,60644,1013,59646,15,7622,676,415,6325,206,84.24825
0,9,9,85.9229,85.7868,84.9651,86.6245,43331.66139,86.0312,57.6433,82.4601,44.3084,3325.098286,121318,51539,7958,52701,9120,7617,724,910,5829,154,84.24565
1,8,8,88.221,87.4956,82.4198,93.2377,34335.4262,91.6164,67.9699,76.8707,60.9164,2118.669271,121318,49995,3626,57033,10664,7622,678,435,6305,204,84.24355
