epoch,dataset,train_num,train_acc,train_loss,train_recall,train_precision,train_tp,train_tn,train_fp,train_fn,test_num,test_acc,test_loss,test_recall,test_precision,test_tp,test_tn,test_fp,test_fn,RECALL,PRECISION,F1,SCORE
5,0,121318,0.8048,0.4353,84.2398,78.3511,51099,46540,14119,9560,7622,0.7713,0.4926,84.2404,31.6574,743,5136,1604,139,0.842403628,0.31657435,0.460204398,0.806851814
7,9,121318,0.8085,0.4262,84.9173,78.5297,51510,46576,14083,9149,7617,0.7706,0.4611,84.2825,31.5028,740,5130,1609,138,0.842824601,0.315027671,0.458630307,0.806712301
11,0,121318,0.8152,0.4078,86.406,78.7112,52413,46483,14176,8246,7622,0.7777,0.4438,83.5601,32.2397,737,5191,1549,145,0.835600907,0.3223972,0.465277778,0.806650454
10,0,121318,0.8147,0.4125,86.2461,78.7192,52316,46516,14143,8343,7622,0.7683,0.476,84.4671,31.3816,745,5111,1629,137,0.844671202,0.313816344,0.457616708,0.806485601
5,4,121318,0.804,0.4361,84.2612,78.2199,51112,46427,14232,9547,7622,0.7781,0.4684,83.4467,32.2665,736,5195,1545,146,0.83446712,0.322665498,0.465380967,0.80628356
14,0,121318,0.8242,0.3908,88.437,78.9327,53645,46341,14318,7014,7622,0.7682,0.4705,84.3537,31.3527,744,5111,1629,138,0.843537415,0.313527181,0.457142857,0.805868707
9,9,121318,0.8129,0.4155,86.1208,78.5351,52240,46381,14278,8419,7617,0.7902,0.4185,82.1185,33.3488,721,5298,1441,157,0.82118451,0.333487512,0.474342105,0.805692255
9,0,121318,0.8122,0.4171,85.7086,78.6464,51990,46543,14116,8669,7622,0.7788,0.4458,83.22,32.3063,734,5202,1538,148,0.832199546,0.32306338,0.46544071,0.805499773
8,0,121318,0.8105,0.422,85.4053,78.5677,51806,46527,14132,8853,7622,0.7797,0.4398,83.1066,32.3906,733,5210,1530,149,0.83106576,0.323906319,0.466136725,0.80538288
7,0,121318,0.8088,0.4253,84.9157,78.5713,51509,46611,14048,9150,7622,0.7717,0.4586,83.9002,31.651,740,5142,1598,142,0.839002268,0.316509837,0.459627329,0.805351134
6,9,121318,0.8059,0.4316,84.4854,78.3752,51248,46519,14140,9411,7617,0.7831,0.4506,82.6879,32.6146,726,5239,1500,152,0.826879271,0.326145553,0.467783505,0.804989636
10,5,121318,0.8154,0.4122,86.2428,78.8324,52314,46612,14047,8345,7622,0.7797,0.4269,82.9932,32.3751,732,5211,1529,150,0.829931973,0.323750553,0.465797009,0.804815986
5,5,121318,0.8061,0.4349,84.2051,78.5501,51078,46711,13948,9581,7622,0.7863,0.4403,82.3129,33.015,726,5267,1473,156,0.823129252,0.330150068,0.47127556,0.804714626
13,5,121318,0.8223,0.3931,87.8699,78.9668,53301,46462,14197,7358,7622,0.7682,0.4633,84.0136,31.3054,741,5114,1626,141,0.840136054,0.313054499,0.456140351,0.804168027
8,1,121318,0.8105,0.4207,85.5817,78.4753,51913,46420,14239,8746,7622,0.7716,0.467,83.6735,31.606,738,5143,1597,144,0.836734694,0.316059957,0.458812558,0.804167347
16,0,121318,0.8339,0.3726,90.0575,79.4601,54628,46538,14121,6031,7622,0.7658,0.4642,84.2404,31.1009,743,5094,1646,139,0.842403628,0.31100879,0.454295323,0.804101814
10,1,121318,0.8151,0.4106,86.7307,78.5247,52610,46271,14388,8049,7622,0.7825,0.4247,82.5397,32.6165,728,5236,1504,154,0.825396825,0.326164875,0.467565832,0.803948413
8,5,121318,0.8115,0.4209,85.3361,78.7465,51764,46688,13971,8895,7622,0.7833,0.4291,82.4263,32.6888,727,5243,1497,155,0.824263039,0.326888489,0.468126207,0.803781519
5,8,121318,0.8024,0.4365,83.8969,78.1772,50891,46453,14206,9768,7622,0.7455,0.5507,86.1678,29.4802,760,4922,1818,122,0.861678005,0.294802172,0.439306358,0.803589002
0,2,121318,0.7519,0.5157,80.0096,72.982,48533,42692,17967,12126,7622,0.7408,0.5316,86.6213,29.1381,764,4882,1858,118,0.866213152,0.291380625,0.436073059,0.803506576
19,2,121318,0.8453,0.3528,91.5248,80.2887,55518,47029,13630,5141,7622,0.7792,0.4332,82.7664,32.2866,730,5209,1531,152,0.827664399,0.322865989,0.46452434,0.8034322
10,9,121318,0.815,0.4091,86.7241,78.5176,52606,46266,14393,8053,7617,0.7751,0.4623,83.1435,31.8083,730,5174,1565,148,0.83143508,0.318082789,0.460132367,0.80326754
9,1,121318,0.8136,0.4144,86.162,78.607,52265,46435,14224,8394,7622,0.7545,0.493,85.1474,30.1485,751,5000,1740,131,0.851473923,0.301485347,0.445300919,0.802986961
4,9,121318,0.8002,0.4425,83.6793,77.9744,50759,46321,14338,9900,7617,0.7653,0.4946,84.0547,30.9304,738,5091,1648,140,0.840546697,0.309304275,0.452205882,0.802923349
23,1,121318,0.8722,0.3062,94.5647,82.4593,57362,48457,12202,3297,7622,0.7747,0.4651,83.1066,31.8557,733,5172,1568,149,0.83106576,0.318557149,0.460571788,0.80288288
12,0,121318,0.8205,0.4,87.4248,78.9457,53031,46516,14143,7628,7622,0.7724,0.4303,83.3333,31.6401,735,5152,1588,147,0.833333333,0.316401205,0.458658346,0.802866667
15,5,121318,0.8312,0.3789,89.558,79.3355,54325,46509,14150,6334,7622,0.7822,0.4309,82.3129,32.5561,726,5236,1504,156,0.823129252,0.325560538,0.466580977,0.802664626
6,4,121318,0.806,0.4323,84.3766,78.4447,51182,46595,14064,9477,7622,0.7771,0.4466,82.7664,32.0597,730,5193,1547,152,0.827664399,0.320597277,0.462171573,0.8023822
8,8,121318,0.811,0.4199,85.2306,78.7222,51700,46685,13974,8959,7622,0.768,0.4821,83.6735,31.2447,738,5116,1624,144,0.836734694,0.312447079,0.454993835,0.802367347
17,1,121318,0.8458,0.3525,91.8677,80.1755,55726,46880,13779,4933,7622,0.7505,0.4995,85.3741,29.81,753,4967,1773,129,0.853741497,0.298099762,0.441901408,0.802120748
23,2,121318,0.8638,0.3199,93.7602,81.7003,56874,47920,12739,3785,7622,0.7701,0.4984,83.3333,31.4103,735,5135,1605,147,0.833333333,0.314102564,0.456238361,0.801716667
20,0,121318,0.854,0.3385,92.8156,80.826,56301,47303,13356,4358,7622,0.7587,0.4942,84.4671,30.4454,745,5038,1702,137,0.844671202,0.304454434,0.447581856,0.801685601
9,6,121318,0.811,0.4247,85.0261,78.8359,51576,46813,13846,9083,7622,0.7813,0.4399,82.0862,32.4227,724,5231,1509,158,0.820861678,0.324227497,0.464847512,0.801080839
15,0,121318,0.8295,0.3805,89.2283,79.2808,54125,46514,14145,6534,7622,0.7654,0.4869,83.6735,30.9824,738,5096,1644,144,0.836734694,0.309823678,0.452205882,0.801067347
11,9,121318,0.8165,0.4041,86.9929,78.5884,52769,46282,14377,7890,7617,0.7536,0.4944,84.8519,29.9317,745,4995,1744,133,0.848519362,0.299316995,0.442530443,0.801059681
12,6,121318,0.8158,0.4115,86.0763,78.9778,52213,46761,13898,8446,7622,0.7675,0.4731,83.4467,31.16,736,5114,1626,146,0.83446712,0.311600339,0.453760789,0.80098356
18,0,121318,0.8442,0.3554,91.5363,80.1296,55525,46890,13769,5134,7622,0.7548,0.4918,84.6939,30.1088,747,5006,1734,135,0.846938776,0.301088271,0.444246209,0.800869388
1,2,121318,0.7867,0.4668,82.8105,76.4811,50232,45212,15447,10427,7622,0.7886,0.4024,81.2925,33.1484,717,5294,1446,165,0.81292517,0.33148405,0.470935961,0.800762585
8,6,121318,0.8094,0.4275,84.6601,78.7916,51354,46836,13823,9305,7622,0.7747,0.4737,82.6531,31.7924,729,5176,1564,153,0.826530612,0.317924117,0.459212598,0.800615306
2,0,121318,0.7922,0.4559,83.2506,77.0436,50499,45612,15047,10160,7622,0.7541,0.492,84.6939,30.0483,747,5001,1739,135,0.846938776,0.300482703,0.443586698,0.800519388
4,4,121318,0.8019,0.4405,84.0353,78.0317,50975,46308,14351,9684,7622,0.7506,0.4921,85.034,29.7737,750,4971,1769,132,0.850340136,0.297737197,0.441046751,0.800470068
12,5,121318,0.8197,0.4013,87.2649,78.907,52934,46509,14150,7725,7622,0.7785,0.4335,82.1995,32.1365,725,5209,1531,157,0.821995465,0.321365248,0.462077757,0.800247732
6,5,121318,0.8062,0.4305,84.2464,78.5451,51103,46700,13959,9556,7622,0.792,0.4269,80.839,33.4899,713,5324,1416,169,0.808390023,0.334899014,0.473596812,0.800195011
6,6,121318,0.8059,0.4358,84.0452,78.6149,50981,46791,13868,9678,7622,0.7612,0.5127,83.9002,30.6038,740,5062,1678,142,0.839002268,0.306038048,0.448484848,0.800101134
22,2,121318,0.8589,0.3272,93.0909,81.3719,56468,47732,12927,4191,7622,0.7827,0.4363,81.746,32.5361,721,5245,1495,161,0.817460317,0.325361011,0.465461588,0.800080159
8,9,121318,0.81,0.4213,85.4201,78.4814,51815,46452,14207,8844,7617,0.7482,0.5425,85.1936,29.4953,748,4951,1788,130,0.851936219,0.294952681,0.438195665,0.800068109
20,1,121318,0.8585,0.3304,93.4783,81.1109,56703,47454,13205,3956,7622,0.7663,0.4846,83.3333,31.0257,735,5106,1634,147,0.833333333,0.310257493,0.452168564,0.799816667
3,5,121318,0.7978,0.4485,83.5787,77.6731,50698,46086,14573,9961,7622,0.781,0.4479,81.8594,32.3622,722,5231,1509,160,0.818594104,0.323621694,0.463861227,0.799797052
21,0,121318,0.8586,0.3307,93.2871,81.2273,56587,47581,13078,4072,7622,0.7707,0.4794,82.8798,31.4003,731,5143,1597,151,0.828798186,0.314003436,0.455451713,0.799749093
19,0,121318,0.8487,0.3471,92.0853,80.4708,55858,47103,13556,4801,7622,0.765,0.4869,83.4467,30.9114,736,5095,1645,146,0.83446712,0.309113818,0.451118603,0.79973356
16,1,121318,0.8394,0.364,91.0434,79.7234,55226,46613,14046,5433,7622,0.7638,0.4698,83.5601,30.811,737,5085,1655,145,0.835600907,0.308110368,0.450213806,0.799700454
17,0,121318,0.8375,0.3656,90.6477,79.6587,54986,46618,14041,5673,7622,0.776,0.4398,82.3129,31.8841,726,5189,1551,156,0.823129252,0.31884058,0.459639126,0.799564626
10,4,121318,0.8148,0.4131,86.1603,78.7808,52264,46582,14077,8395,7622,0.7951,0.4143,80.3855,33.7941,709,5351,1389,173,0.803854875,0.337940896,0.475838926,0.799477438
5,7,121318,0.8052,0.4331,84.4326,78.2988,51216,46464,14195,9443,7622,0.7665,0.4758,83.22,31.0228,734,5108,1632,148,0.832199546,0.310228233,0.451970443,0.799349773
4,8,121318,0.7988,0.4446,83.7287,77.7422,50789,46118,14541,9870,7622,0.7481,0.5477,85.034,29.5508,750,4952,1788,132,0.850340136,0.295508274,0.438596491,0.799220068
20,4,121318,0.8565,0.3358,92.7941,81.1991,56288,47626,13033,4371,7622,0.7784,0.4605,81.9728,32.0905,723,5210,1530,159,0.819727891,0.320905459,0.461244019,0.799063946
18,2,121318,0.8404,0.3613,90.8455,79.9611,55106,46849,13810,5553,7622,0.7951,0.4054,80.2721,33.7786,708,5352,1388,174,0.802721088,0.33778626,0.475486904,0.798910544
19,3,121318,0.8461,0.3498,92.2204,80.0366,55940,46706,13953,4719,7622,0.7826,0.4469,81.5193,32.4898,719,5246,1494,163,0.815192744,0.324898328,0.464620355,0.798896372
12,9,121318,0.8213,0.396,87.9869,78.7674,53372,46272,14387,7287,7617,0.7785,0.4204,81.8907,31.9982,719,5211,1528,159,0.818906606,0.319982198,0.46016,0.798703303
2,4,121318,0.7918,0.4563,83.31,76.9529,50535,45524,15135,10124,7622,0.7515,0.5098,84.5805,29.7923,746,4982,1758,136,0.845804989,0.297923323,0.440637921,0.798652494
13,1,121318,0.8265,0.3883,88.9184,79.0077,53937,46328,14331,6722,7622,0.7821,0.4359,81.5193,32.4312,719,5242,1498,163,0.815192744,0.324312134,0.464020652,0.798646372
3,4,121318,0.7969,0.4495,83.8408,77.4162,50857,45823,14836,9802,7622,0.765,0.4995,83.22,30.8793,734,5097,1643,148,0.832199546,0.308792596,0.450444922,0.798599773
16,5,121318,0.8352,0.3708,90.1053,79.6157,54657,46665,13994,6002,7622,0.7774,0.4403,81.9728,31.977,723,5202,1538,159,0.819727891,0.319770013,0.460069997,0.798563946
13,6,121318,0.8196,0.4035,86.7324,79.1702,52611,46817,13842,8048,7622,0.7603,0.4843,83.6735,30.4833,738,5057,1683,144,0.836734694,0.304832714,0.446866485,0.798517347
14,5,121318,0.8258,0.3879,88.5837,79.0939,53734,46456,14203,6925,7622,0.7493,0.4992,84.6939,29.6076,747,4964,1776,135,0.846938776,0.2960761,0.43876652,0.798119388
0,4,121318,0.755,0.5128,80.664,73.1084,48930,42661,17998,11729,7622,0.7544,0.5026,84.127,29.9919,742,5008,1732,140,0.841269841,0.299919159,0.442193087,0.797834921
18,3,121318,0.8416,0.3585,91.6715,79.6982,55607,46494,14165,5052,7622,0.7872,0.428,80.839,32.9178,713,5287,1453,169,0.808390023,0.329178209,0.467847769,0.797795011
16,6,121318,0.8311,0.3829,88.9415,79.6489,53951,46874,13785,6708,7622,0.7718,0.4613,82.3129,31.4422,726,5157,1583,156,0.823129252,0.314421828,0.455029771,0.797464626
19,1,121318,0.8533,0.3387,92.9425,80.6621,56378,47143,13516,4281,7622,0.7535,0.4915,84.127,29.9073,742,5001,1739,140,0.841269841,0.299072954,0.441272673,0.797384921
20,3,121318,0.8525,0.3408,92.9211,80.5571,56365,47055,13604,4294,7622,0.7671,0.4555,82.7664,31.0242,730,5117,1623,152,0.827664399,0.310242244,0.451313756,0.7973822
18,5,121318,0.8464,0.3521,91.866,80.2665,55725,46959,13700,4934,7622,0.7726,0.4592,82.1995,31.508,725,5164,1576,157,0.821995465,0.3150804,0.455545083,0.797297732
9,4,121318,0.8131,0.4162,85.7548,78.7483,52018,46621,14038,8641,7622,0.7612,0.4717,83.3333,30.5233,735,5067,1673,147,0.833333333,0.305232558,0.446808511,0.797266667
11,6,121318,0.8152,0.4147,85.8488,79.0117,52075,46826,13833,8584,7622,0.7708,0.463,82.3129,31.3336,726,5149,1591,156,0.823129252,0.313336211,0.453891841,0.796964626
13,9,121318,0.8267,0.3864,88.9761,79.0116,53972,46322,14337,6687,7617,0.7716,0.4577,82.2323,31.3096,722,5155,1584,156,0.822323462,0.313096271,0.453517588,0.796961731
11,4,121318,0.8188,0.4047,86.8643,78.9923,52691,46646,14013,7968,7622,0.7628,0.4612,83.1066,30.6438,733,5081,1659,149,0.83106576,0.306438127,0.447770312,0.79693288
15,4,121318,0.8319,0.3777,89.469,79.4935,54271,46659,14000,6388,7622,0.7798,0.464,81.4059,32.1685,718,5226,1514,164,0.814058957,0.321684588,0.461143224,0.796929478
7,6,121318,0.8086,0.4306,84.4244,78.808,51211,46888,13771,9448,7622,0.7707,0.4796,82.3129,31.3201,726,5148,1592,156,0.823129252,0.313201035,0.45375,0.796914626
24,1,121318,0.8771,0.2975,95.056,82.8734,57660,48743,11916,2999,7622,0.784,0.4701,80.9524,32.573,714,5262,1478,168,0.80952381,0.325729927,0.464541314,0.796761905
27,2,121318,0.8801,0.2892,94.9785,83.3678,57613,49165,11494,3046,7622,0.785,0.4811,80.839,32.6615,713,5270,1470,169,0.808390023,0.32661475,0.465252855,0.796695011
4,6,121318,0.7992,0.4485,83.704,77.8098,50774,46179,14480,9885,7622,0.7396,0.5322,85.3741,28.8616,753,4884,1856,129,0.853741497,0.288616328,0.431395016,0.796670748
21,3,121318,0.8549,0.3339,93.3299,80.6729,56613,47096,13563,4046,7622,0.7711,0.4628,82.1995,31.3446,725,5152,1588,157,0.821995465,0.313445741,0.453834116,0.796547732
24,0,121318,0.8708,0.3074,94.3932,82.3477,57258,48385,12274,3401,7622,0.7812,0.4578,81.1791,32.2813,716,5238,1502,166,0.811791383,0.322813345,0.461935484,0.796495692
22,3,121318,0.8605,0.3272,93.7717,81.2214,56881,47508,13151,3778,7622,0.7823,0.4569,81.0658,32.3969,715,5248,1492,167,0.810657596,0.323969189,0.462932988,0.796478798
17,4,121318,0.8411,0.3618,90.8192,80.0808,55090,46956,13703,5569,7622,0.7686,0.4648,82.4263,31.1216,727,5131,1609,155,0.824263039,0.311215753,0.451833437,0.796431519
15,1,121318,0.8345,0.3727,90.3328,79.4015,54795,46444,14215,5864,7622,0.7797,0.4362,81.2925,32.1381,717,5226,1514,165,0.81292517,0.321380547,0.460648892,0.796312585
12,1,121318,0.8227,0.3963,88.1831,78.8546,53491,46315,14344,7168,7622,0.7796,0.4369,81.2925,32.1237,717,5225,1515,165,0.81292517,0.321236559,0.460500963,0.796262585
22,0,121318,0.8622,0.3226,93.6085,81.5611,56782,47822,12837,3877,7622,0.783,0.4616,80.9524,32.4545,714,5254,1486,168,0.80952381,0.324545455,0.463335496,0.796261905
22,1,121318,0.8682,0.3132,94.2267,82.0726,57157,48174,12485,3502,7622,0.783,0.4586,80.9524,32.4545,714,5254,1486,168,0.80952381,0.324545455,0.463335496,0.796261905
9,5,121318,0.8132,0.4158,85.6262,78.8295,51940,46710,13949,8719,7622,0.7875,0.4265,80.4989,32.9008,710,5292,1448,172,0.804988662,0.329008341,0.467105263,0.796244331
2,5,121318,0.7929,0.4569,83.3314,77.0984,50548,45644,15015,10111,7622,0.7851,0.4306,80.7256,32.6606,712,5272,1468,170,0.807256236,0.326605505,0.465055519,0.796178118
21,1,121318,0.8626,0.3226,93.7124,81.5614,56845,47808,12851,3814,7622,0.7726,0.4791,81.9728,31.4758,723,5166,1574,159,0.819727891,0.31475838,0.454860019,0.796163946
15,6,121318,0.8265,0.3903,88.1502,79.4081,53471,46793,13866,7188,7622,0.7759,0.4586,81.6327,31.7741,720,5194,1546,162,0.816326531,0.317740512,0.457433291,0.796113265
3,8,121318,0.7946,0.4505,83.5226,77.2458,50664,45735,14924,9995,7622,0.7498,0.5032,84.2404,29.5898,743,4972,1768,139,0.842403628,0.295898049,0.437960507,0.796101814
19,4,121318,0.8513,0.3435,92.1149,80.8251,55876,47403,13256,4783,7622,0.7837,0.4442,80.839,32.5125,713,5260,1480,169,0.808390023,0.325125399,0.463739837,0.796045011
