epoch,dataset,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
36,3,87.7248,87.202,83.6397,91.0813,35264.128,89.9501,64.8946,80.2721,54.4615,2462.709539,121318,50735,4968,0,9924,7622,708,592,0,174,85.1111
28,5,87.1462,86.2494,80.6245,92.7181,36222.26955,91.8001,68.859,78.3447,61.4222,2232.550621,121318,48906,3841,0,11753,7622,691,434,0,191,85.0724
14,3,86.1142,85.4558,81.5872,89.7094,40351.79045,89.386,63.7707,80.7256,52.7017,2730.402504,121318,49490,5677,0,11169,7622,712,639,0,170,85.0558
41,5,87.3984,86.6683,81.9219,91.9985,33752.40491,90.8554,66.7303,79.2517,57.6257,2523.548536,121318,49693,4322,0,10966,7622,699,514,0,183,85.05355
24,3,86.9863,86.2272,81.4751,91.568,37668.66476,90.6849,66.3507,79.3651,57.0033,2449.073839,121318,49422,4551,0,11237,7622,700,528,0,182,85.025
12,2,85.7515,84.8912,80.0574,90.3462,40879.53674,89.6615,64.2792,80.3855,53.5498,2689.716791,121318,48562,5189,0,12097,7622,709,615,0,173,85.0235
37,5,87.1305,86.4927,82.4082,91.0031,35230.68706,90.2257,65.3971,79.8186,55.3895,2711.284891,121318,49988,4942,0,10671,7622,704,567,0,178,85.02215
53,1,90.1836,90.1094,89.4327,90.7963,28535.8941,88.8612,62.7795,81.1791,51.1794,2220.744247,121318,54249,5499,0,6410,7622,716,683,0,166,85.02015
10,3,85.4795,85.0286,82.4676,87.7537,42122.88744,87.8247,60.9756,82.1995,48.4626,2979.270565,121318,50024,6981,0,10635,7622,725,771,0,157,85.0121
15,3,86.3326,85.6229,81.396,90.3128,39862.85983,89.8452,64.6252,80.1587,54.1348,2599.495007,121318,49374,5296,0,11285,7622,707,599,0,175,85.00195
56,3,88.5829,88.0957,84.4903,92.0225,31035.85336,90.3962,65.7303,79.5918,55.9809,2501.671694,121318,51251,4443,0,9408,7622,702,552,0,180,84.994
14,2,85.857,85.0639,80.547,90.1175,40299.94061,89.3729,63.7097,80.6122,52.6667,2713.186577,121318,48859,5358,0,11800,7622,711,639,0,171,84.99255
17,2,86.2131,85.3632,80.4069,90.9708,39269.72203,90.042,65.0069,79.932,54.7786,2558.379986,121318,48774,4841,0,11885,7622,705,582,0,177,84.987
49,3,88.2598,87.788,84.3964,91.4636,32466.07382,89.9239,64.7706,80.0454,54.3914,2479.765677,121318,51194,4778,0,9465,7622,706,592,0,176,84.98465
13,2,85.8331,84.8342,79.2463,91.2698,40551.40616,90.593,66.1313,79.3651,56.6802,2557.566311,121318,48070,4598,0,12589,7622,700,535,0,182,84.97905
8,2,85.3558,84.4662,79.6287,89.9294,42707.56303,89.5697,64.0759,80.3855,53.2682,2855.742481,121318,48302,5409,0,12357,7622,709,622,0,173,84.9776
42,3,88.0273,87.5074,83.8655,91.4799,34160.26434,90.0157,64.947,79.932,54.6936,2467.272184,121318,50872,4738,0,9787,7622,705,584,0,177,84.97385
56,1,90.4425,90.3618,89.6058,91.1307,27959.49992,89.0973,63.1812,80.839,51.8545,2153.229277,121318,54354,5290,0,6305,7622,713,662,0,169,84.96815
31,1,87.9606,87.281,82.6176,92.5024,35010.18304,91.4721,68.0433,78.458,60.0694,2020.092406,121318,50115,4062,0,10544,7622,692,460,0,190,84.96505
35,5,87.3803,86.5655,81.3152,92.5405,34851.05991,91.3409,67.7419,78.5714,59.5361,2427.275877,121318,49325,3976,0,11334,7622,693,471,0,189,84.95615
29,2,87.0291,86.2541,81.3911,91.7353,35995.51545,90.3175,65.5462,79.5918,55.7143,2476.98921,121318,49371,4448,0,11288,7622,702,558,0,180,84.95465
38,3,87.9095,87.3024,83.1286,91.9175,34735.01373,90.5405,66.0066,79.3651,56.4972,2314.221582,121318,50425,4434,0,10234,7622,700,539,0,182,84.9528
55,1,90.224,90.0508,88.4832,91.6751,28285.26859,89.7402,64.3898,80.1587,53.8052,2101.286844,121318,53673,4874,0,6986,7622,707,607,0,175,84.94945
